<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.01	01:00:00	1232.21	1232.26	1231.35	1231.77	406	0	0
2016.04.01	02:00:00	1231.77	1231.97	1231.17	1231.76	909	0	0
2016.04.01	03:00:00	1231.70	1233.37	1231.36	1231.97	3292	0	0
2016.04.01	04:00:00	1232.00	1234.53	1230.95	1231.56	6889	0	0
2016.04.01	05:00:00	1231.58	1231.98	1229.33	1230.81	5479	0	0
2016.04.01	06:00:00	1230.76	1231.11	1229.58	1229.81	1965	0	0
2016.04.01	07:00:00	1229.81	1232.05	1229.58	1230.95	1878	0	0
2016.04.01	08:00:00	1230.95	1232.86	1230.26	1232.53	3882	0	0
2016.04.01	09:00:00	1232.53	1235.29	1231.72	1233.66	7107	0	0
2016.04.01	10:00:00	1233.66	1234.64	1232.46	1233.21	6997	0	0
2016.04.01	11:00:00	1233.15	1233.84	1231.51	1233.24	6710	0	0
2016.04.01	12:00:00	1233.22	1234.03	1230.91	1231.24	8189	0	0
2016.04.01	13:00:00	1230.97	1232.23	1230.65	1231.97	6980	0	0
2016.04.01	14:00:00	1232.04	1232.18	1227.67	1229.17	8138	0	0
2016.04.01	15:00:00	1229.17	1232.98	1217.09	1218.41	21100	0	0
2016.04.01	16:00:00	1218.60	1220.33	1213.12	1214.80	18766	0	0
2016.04.01	17:00:00	1214.72	1215.23	1209.02	1212.63	17386	0	0
2016.04.01	18:00:00	1212.62	1214.55	1210.08	1214.18	10340	0	0
2016.04.01	19:00:00	1214.18	1218.18	1213.11	1216.74	7593	0	0
2016.04.01	20:00:00	1216.70	1223.85	1216.20	1219.93	7795	0	0
2016.04.01	21:00:00	1219.94	1221.61	1219.47	1220.17	4399	0	0
2016.04.01	22:00:00	1220.17	1224.01	1220.07	1223.52	6959	0	0
2016.04.01	23:00:00	1223.50	1223.61	1221.56	1222.22	868	0	0
2016.04.04	01:00:00	1220.01	1220.88	1218.05	1218.72	1588	0	0
2016.04.04	02:00:00	1218.72	1220.94	1218.64	1220.47	2811	0	0
